wafer_id,target,status,timestamp
WF-000309,0,Pass,2008-08-19 11:58:00
WF-000236,1,Fail,2008-08-17 21:26:00
WF-000183,1,Fail,2008-08-10 07:01:00
WF-001304,1,Fail,2008-10-05 00:33:00
WF-001248,0,Pass,2008-10-02 16:32:00
WF-001179,0,Pass,2008-09-29 14:04:00
WF-000934,0,Pass,2008-09-20 00:33:00
WF-000172,0,Pass,2008-08-09 19:03:00
WF-000433,0,Pass,2008-08-23 04:52:00
WF-001491,0,Pass,2008-10-13 21:20:00
WF-000684,0,Pass,2008-09-02 12:30:00
WF-000597,0,Pass,2008-08-30 20:11:00
WF-000917,0,Pass,2008-09-19 18:11:00
WF-000458,0,Pass,2008-08-27 22:58:00
WF-000378,0,Pass,2008-08-21 19:12:00
WF-000704,0,Pass,2008-09-02 20:52:00
WF-000791,0,Pass,2008-09-11 14:31:00
WF-000538,0,Pass,2008-08-29 14:18:00
WF-001509,0,Pass,2008-10-14 20:48:00
WF-001511,0,Pass,2008-10-14 23:07:00
WF-001438,0,Pass,2008-10-09 00:23:00
WF-000362,0,Pass,2008-08-21 13:45:00
WF-000772,0,Pass,2008-09-09 08:44:00
WF-000336,0,Pass,2008-08-20 18:35:00
WF-000733,0,Pass,2008-09-04 16:56:00
WF-000757,0,Pass,2008-09-08 04:21:00
WF-001054,0,Pass,2008-09-24 06:14:00
WF-001380,0,Pass,2008-10-06 21:46:00
WF-000331,0,Pass,2008-08-20 16:16:00
WF-001300,0,Pass,2008-10-04 19:54:00
WF-000901,0,Pass,2008-09-19 06:01:00
WF-001539,0,Pass,2008-10-15 19:15:00
WF-001278,0,Pass,2008-10-03 20:26:00
WF-000437,0,Pass,2008-08-23 05:58:00
WF-001567,0,Pass,2008-10-17 06:07:00
WF-000386,0,Pass,2008-08-21 23:08:00
WF-000569,0,Pass,2008-08-30 07:50:00
WF-001501,0,Pass,2008-10-14 13:16:00
WF-000007,0,Pass,2008-07-19 19:44:00
WF-001084,0,Pass,2008-09-25 15:12:00
WF-000496,1,Fail,2008-08-28 20:39:00
WF-000135,0,Pass,2008-08-06 12:33:00
WF-001276,0,Pass,2008-10-03 19:23:00
WF-000743,0,Pass,2008-09-07 13:02:00
WF-000355,0,Pass,2008-08-21 12:31:00
WF-001366,1,Fail,2008-10-06 15:00:00
WF-000020,0,Pass,2008-07-22 14:00:00
WF-000104,0,Pass,2008-08-05 02:36:00
WF-000593,0,Pass,2008-08-30 17:05:00
