wafer_id,target,status,decision,calibrated_failure_probability,prediction_confidence,combined_uncertainty,rank,feature,feature_value,shap_contribution,absolute_shap_contribution,contribution_direction
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,1,sensor_032,4.6613,-0.014818323615324768,0.014818323615324768,Decreases failure risk
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,2,sensor_060,14.4382,0.011074252471219573,0.011074252471219573,Increases failure risk
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,3,sensor_104,-0.0091,-0.010616690632612719,0.010616690632612719,Decreases failure risk
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,4,sensor_206,14.68,0.009528908250356252,0.009528908250356252,Increases failure risk
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,5,sensor_478,9.8466,0.009111015096463063,0.009111015096463063,Increases failure risk
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,6,sensor_342,3.9876,0.00774334596381758,0.00774334596381758,Increases failure risk
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,7,sensor_386,0.0265,0.007173614766796288,0.007173614766796288,Increases failure risk
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,8,sensor_511,73.5254,0.005873823918573241,0.005873823918573241,Increases failure risk
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,9,sensor_065,25.5618,0.005037152604642456,0.005037152604642456,Increases failure risk
WF-000247,0,Pass,High Risk,0.0881819396074319,0.2720674056271344,0.7279325943728656,10,sensor_520,43.1754,0.005001262253765405,0.005001262253765405,Increases failure risk
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,0.5621505767786571,1,sensor_104,-0.0104,-0.014362982350448576,0.014362982350448576,Decreases failure risk
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,0.5621505767786571,2,sensor_060,0.4264,-0.007527185485180125,0.007527185485180125,Decreases failure risk
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,0.5621505767786571,3,sensor_389,19.33,-0.006727465362192969,0.006727465362192969,Decreases failure risk
WF-001316,0,Pass,Engineering Review,0.0484713095501457,0.4378494232213429,0.5621505767786571,4,sensor_478,3.7573,-0.006500738150403871,0.006500738150403871,Decreases failure risk
