wafer_id,timestamp,target,status,calibrated_failure_probability,probability_interval_lower,probability_interval_upper,probability_interval_width,tree_probability_standard_deviation,fold_probability_standard_deviation,missing_sensor_rate,ood_raw_score,ood_percentile,neighbour_distance,neighbour_distance_percentile,normalized_tree_uncertainty,normalized_fold_uncertainty,ensemble_agreement,fold_stability,completeness_confidence,ood_confidence,neighbour_confidence,data_confidence,decision_margin,prediction_confidence,combined_uncertainty,uncertainty_band,confidence_band,original_decision,uncertainty_adjusted_decision,abstention_reason,requires_human_review,recommended_action,routing_outcome
WF-000309,2008-08-19 11:58:00,0,Pass,0.07621740638203313,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.45452710850205624,0.45452710850205624,0.044444444444444446,-0.09527210302545103,0.5538707102952913,66.74684003191562,0.8930566640063847,0.9769483960531902,0.9769483960531902,0.02305160394680983,0.02305160394680983,0.9555555555555556,0.44612928970470866,0.10694333599361527,0.5651033076172741,0.00411151480213789,0.18282610167624833,0.8171738983237516,Moderate,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Acceptable Routing
WF-000236,2008-08-17 21:26:00,1,Fail,0.06626389916051673,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.45707439147414813,0.45707439147414813,0.044444444444444446,-0.11654346904239304,0.03272146847565842,51.860123916017656,0.8220271348762969,0.982423457864311,0.982423457864311,0.017576542135689044,0.017576542135689044,0.9555555555555556,0.9672785315243416,0.17797286512370314,0.7652629245366676,0.014930544390742675,0.2414855571942406,0.7585144428057594,Low,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Failure Routed to Review
WF-000183,2008-08-10 07:01:00,1,Fail,0.2033693772274689,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.46275578153665,0.46275578153665,0.0,-0.07761757818454268,0.8810853950518756,118.27382386207671,0.9537110933758979,0.9946348855329615,0.9946348855329615,0.005365114467038468,0.005365114467038468,1.0,0.11891460494812445,0.04628890662410212,0.4531923383878691,0.13409714916029228,0.15902308684727573,0.8409769131527243,Moderate,Low,High Risk,High Risk,No abstention,False,Hold and inspect,Correct High-Risk Failure
WF-001304,2008-10-05 00:33:00,1,Fail,0.07191189302289834,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.45287227649405076,0.45287227649405076,0.017777777777777778,-0.07653790953793088,0.8898643256185156,35.56098740469308,0.6169193934557063,0.973391544446943,0.973391544446943,0.02660845555305702,0.02660845555305702,0.9822222222222222,0.11013567438148442,0.38308060654429366,0.5272065265584819,0.0087914206272844,0.17411532161581858,0.8258846783841814,Moderate,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Failure Routed to Review
WF-001248,2008-10-02 16:32:00,0,Pass,0.04615208212039751,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.43587948216664535,0.43587948216664535,0.008888888888888889,-0.07937157104195486,0.8579409417398244,26.62052580817946,0.3567438148443735,0.9368676873389893,0.9368676873389893,0.06313231266101071,0.06313231266101071,0.9911111111111112,0.14205905826017562,0.6432561851556264,0.6069791611244126,0.012121828391736419,0.21863479455964013,0.7813652054403599,Moderate,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Acceptable Routing
WF-001179,2008-09-29 14:04:00,0,Pass,0.049043707252544574,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4520747656897229,0.4520747656897229,0.008888888888888889,-0.11008593716773424,0.11412609736632083,28.998038708321765,0.41819632881085395,0.9716773960792231,0.9716773960792231,0.0283226039207769,0.0283226039207769,0.9911111111111112,0.8858739026336792,0.5818036711891461,0.8519512281635186,0.015264899187548446,0.2734525354836152,0.7265474645163847,Low,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Acceptable Routing
WF-000934,2008-09-20 00:33:00,0,Pass,0.03148429998631104,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4344465850914134,0.4344465850914134,0.008888888888888889,-0.08106212846389999,0.8435754189944135,30.274070189985558,0.4493216280925778,0.9337878567344504,0.9337878567344504,0.06621214326554958,0.06621214326554958,0.9911111111111112,0.15642458100558654,0.5506783719074222,0.5888626407732553,0.0038214130583575684,0.2136486829867825,0.7863513170132175,Moderate,Low,Low Risk,Low Risk,No abstention,False,Continue processing with standard monitoring,Acceptable Routing
WF-000172,2008-08-09 19:03:00,0,Pass,0.2104633084691675,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4642470159301804,0.4642470159301804,0.017777777777777778,-0.07776571138508931,0.8802873104549083,91.52434270434125,0.9361532322426177,0.9978401048073413,0.9978401048073413,0.0021598951926586896,0.0021598951926586896,0.9822222222222222,0.11971268954509173,0.0638467677573823,0.4507500221690166,0.14180794398822555,0.1576841406049011,0.8423158593950989,Moderate,Low,High Risk,High Risk,No abstention,False,Hold and inspect,High-Risk False Alarm
WF-000433,2008-08-23 04:52:00,0,Pass,0.05510854617145319,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4430304284763025,0.4430304284763025,0.044444444444444446,-0.08765128356139512,0.7438148443735035,64.63730385383465,0.8834796488427773,0.9522377398546807,0.9522377398546807,0.04776226014531926,0.04776226014531926,0.9555555555555556,0.25618515562649646,0.1165203511572227,0.5010171144808017,0.021857115403753468,0.17985294473472913,0.8201470552652709,Moderate,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Acceptable Routing
WF-001491,2008-10-13 21:20:00,0,Pass,0.05015006261871318,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4495605057874589,0.4495605057874589,0.017777777777777778,-0.08899080212098731,0.7166799680766162,21.97206490802389,0.22346368715083798,0.9662733131701252,0.9662733131701252,0.033726686829874786,0.033726686829874786,0.9822222222222222,0.28332003192338384,0.776536312849162,0.6861849782743638,0.016467459368166494,0.2268752901439652,0.7731247098560348,Moderate,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Acceptable Routing
WF-000684,2008-09-02 12:30:00,0,Pass,0.06614276785622869,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4513286362129989,0.4513286362129989,0.06222222222222222,-0.07799386869330605,0.8770949720670391,30.746095552696676,0.4652833200319234,0.9700736853612073,0.9700736853612073,0.029926314638792695,0.029926314638792695,0.9377777777777778,0.12290502793296088,0.5347166799680766,0.5518070408796666,0.015062208851925322,0.18426091664302477,0.8157390833569752,Moderate,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Acceptable Routing
WF-000597,2008-08-30 20:11:00,0,Pass,0.07438601445032432,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.46004894092324444,0.46004894092324444,0.008888888888888889,-0.09990306533148585,0.4062250598563448,21.81989869137456,0.2122905027932961,0.9888168748001073,0.9888168748001073,0.01118312519989273,0.01118312519989273,0.9911111111111112,0.5937749401436552,0.7877094972067039,0.8011930477963998,0.006102158206169204,0.2474239569297863,0.7525760430702138,Low,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Acceptable Routing
WF-000917,2008-09-19 18:11:00,0,Pass,0.020268248768952574,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4119994583930824,0.4119994583930824,0.017777777777777778,-0.09613302198758378,0.5291300877893057,22.957471938462337,0.26177174780526735,0.8855406036801522,0.8855406036801522,0.1144593963198478,0.1144593963198478,0.9822222222222222,0.4708699122106943,0.7382282521947326,0.742250421211315,0.016012773077225467,0.28802971030089464,0.7119702896991054,Low,Low,Low Risk,Low Risk,No abstention,False,Continue processing with standard monitoring,Acceptable Routing
WF-000458,2008-08-27 22:58:00,0,Pass,0.17667197667435428,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4559410960641047,0.4559410960641047,0.02666666666666667,0.021407225607513736,1.0,57613.58977740932,0.9976057462090981,0.9799875830564362,0.9799875830564362,0.020012416943563816,0.020012416943563816,0.9733333333333334,0.0,0.002394253790901857,0.38993189678105883,0.10507823551560248,0.14374813368061812,0.8562518663193819,High,Low,High Risk,Insufficient Evidence,Extreme out-of-distribution evidence,True,Repeat measurements and obtain engineering review,Acceptable Routing
WF-000378,2008-08-21 19:12:00,0,Pass,0.12659009097014143,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4642372232446688,0.4642372232446688,0.008888888888888889,-0.09926235928531546,0.43735035913806863,36.198524890720535,0.6312849162011173,0.9978190566713233,0.9978190566713233,0.0021809433286766877,0.0021809433286766877,0.9911111111111112,0.5626496408619314,0.36871508379888274,0.6855505896958412,0.05064140322841461,0.2144609062237867,0.7855390937762133,Moderate,Low,High Risk,High Risk,No abstention,False,Hold and inspect,High-Risk False Alarm
WF-000704,2008-09-02 20:52:00,0,Pass,0.05236492659302652,2.357457031952841e-16,0.9999999997542899,0.9999999997542897,0.4432709610651108,0.4432709610651108,0.008888888888888889,-0.0890259992888649,0.7158818834796489,28.095863310609992,0.3974461292897047,0.9527547341602773,0.9527547341602773,0.04724526583972266,0.04724526583972266,0.9911111111111112,0.2841181165203511,0.6025538707102953,0.6465242529041412,0.018874920209811432,0.22277341011456153,0.7772265898854385,Moderate,Low,Engineering Review,Engineering Review,No abstention,True,Engineering assessment required,Acceptable Routing
