wafer_id,timestamp,target,status,missing_sensor_count,missing_sensor_rate,observed_sensor_count,mean_observed_sensor_reliability,completeness_score,data_quality_score,data_quality_band,dataset_split
WF-000309,2008-08-19 11:58:00,0,Pass,20,0.044444444444444446,430,0.8914221577456518,0.9555555555555556,0.9299021964315941,High,development
WF-000236,2008-08-17 21:26:00,1,Fail,20,0.044444444444444446,430,0.8914221577456518,0.9555555555555556,0.9299021964315941,High,development
WF-000183,2008-08-10 07:01:00,1,Fail,0,0.0,450,0.8886296986662388,1.0,0.9554518794664955,High,development
WF-001304,2008-10-05 00:33:00,1,Fail,8,0.017777777777777778,442,0.893161043275428,0.9822222222222222,0.9465977506435045,High,development
WF-001248,2008-10-02 16:32:00,0,Pass,4,0.008888888888888889,446,0.8908436362157439,0.9911111111111112,0.9510041211529643,High,development
WF-001179,2008-09-29 14:04:00,0,Pass,4,0.008888888888888889,446,0.890906465863957,0.9911111111111112,0.9510292530122495,High,development
WF-000934,2008-09-20 00:33:00,0,Pass,4,0.008888888888888889,446,0.8908436362157439,0.9911111111111112,0.9510041211529643,High,development
WF-000172,2008-08-09 19:03:00,0,Pass,8,0.017777777777777778,442,0.8897284497435358,0.9822222222222222,0.9452247132307476,High,development
WF-000433,2008-08-23 04:52:00,0,Pass,20,0.044444444444444446,430,0.8914221577456518,0.9555555555555556,0.9299021964315941,High,development
WF-001491,2008-10-13 21:20:00,0,Pass,8,0.017777777777777778,442,0.893161043275428,0.9822222222222222,0.9465977506435045,High,development
WF-000684,2008-09-02 12:30:00,0,Pass,28,0.06222222222222222,422,0.8962211956364029,0.9377777777777778,0.9211551449212279,High,development
WF-000597,2008-08-30 20:11:00,0,Pass,4,0.008888888888888889,446,0.8908436362157439,0.9911111111111112,0.9510041211529643,High,development
WF-000917,2008-09-19 18:11:00,0,Pass,8,0.017777777777777778,442,0.893161043275428,0.9822222222222222,0.9465977506435045,High,development
WF-000458,2008-08-27 22:58:00,0,Pass,12,0.02666666666666667,438,0.8902623685931389,0.9733333333333334,0.9401049474372556,High,development
WF-000378,2008-08-21 19:12:00,0,Pass,4,0.008888888888888889,446,0.890906465863957,0.9911111111111112,0.9510292530122495,High,development
WF-000704,2008-09-02 20:52:00,0,Pass,4,0.008888888888888889,446,0.8908436362157439,0.9911111111111112,0.9510041211529643,High,development
WF-000791,2008-09-11 14:31:00,0,Pass,20,0.044444444444444446,430,0.8949505445854108,0.9555555555555556,0.9313135511674977,High,development
WF-000538,2008-08-29 14:18:00,0,Pass,12,0.02666666666666667,438,0.8919928587649708,0.9733333333333334,0.9407971435059883,High,development
WF-001509,2008-10-14 20:48:00,0,Pass,16,0.035555555555555556,434,0.8932673816304798,0.9644444444444444,0.9359736193188586,High,development
WF-001511,2008-10-14 23:07:00,0,Pass,16,0.035555555555555556,434,0.8932673816304798,0.9644444444444444,0.9359736193188586,High,development
WF-001438,2008-10-09 00:23:00,0,Pass,4,0.008888888888888889,446,0.890906465863957,0.9911111111111112,0.9510292530122495,High,development
WF-000362,2008-08-21 13:45:00,0,Pass,4,0.008888888888888889,446,0.890906465863957,0.9911111111111112,0.9510292530122495,High,development
WF-000772,2008-09-09 08:44:00,0,Pass,4,0.008888888888888889,446,0.8908436362157439,0.9911111111111112,0.9510041211529643,High,development
WF-000336,2008-08-20 18:35:00,0,Pass,24,0.05333333333333334,426,0.8938320356951824,0.9466666666666667,0.925532814278073,High,development
WF-000733,2008-09-04 16:56:00,0,Pass,24,0.05333333333333334,426,0.8937662562982269,0.9466666666666667,0.9255065025192908,High,development
WF-000757,2008-09-08 04:21:00,0,Pass,4,0.008888888888888889,446,0.8908436362157439,0.9911111111111112,0.9510041211529643,High,development
WF-001054,2008-09-24 06:14:00,0,Pass,8,0.017777777777777778,442,0.893161043275428,0.9822222222222222,0.9465977506435045,High,development
WF-001380,2008-10-06 21:46:00,0,Pass,4,0.008888888888888889,446,0.890906465863957,0.9911111111111112,0.9510292530122495,High,development
WF-000331,2008-08-20 16:16:00,0,Pass,12,0.02666666666666667,438,0.8902623685931389,0.9733333333333334,0.9401049474372556,High,development
WF-001300,2008-10-04 19:54:00,0,Pass,8,0.017777777777777778,442,0.893161043275428,0.9822222222222222,0.9465977506435045,High,development
WF-000901,2008-09-19 06:01:00,0,Pass,4,0.008888888888888889,446,0.8908436362157439,0.9911111111111112,0.9510041211529643,High,development
WF-001539,2008-10-15 19:15:00,0,Pass,16,0.035555555555555556,434,0.8932673816304798,0.9644444444444444,0.9359736193188586,High,development
WF-001278,2008-10-03 20:26:00,0,Pass,4,0.008888888888888889,446,0.890906465863957,0.9911111111111112,0.9510292530122495,High,development
WF-000437,2008-08-23 05:58:00,0,Pass,4,0.008888888888888889,446,0.890906465863957,0.9911111111111112,0.9510292530122495,High,development
WF-001567,2008-10-17 06:07:00,0,Pass,107,0.23777777777777778,343,0.8915029565672499,0.7622222222222222,0.8139345159602334,Acceptable,development
WF-000386,2008-08-21 23:08:00,0,Pass,0,0.0,450,0.8886296986662388,1.0,0.9554518794664955,High,development
WF-000569,2008-08-30 07:50:00,0,Pass,0,0.0,450,0.8886296986662388,1.0,0.9554518794664955,High,development
WF-001501,2008-10-14 13:16:00,0,Pass,16,0.035555555555555556,434,0.8932673816304798,0.9644444444444444,0.9359736193188586,High,development
WF-000007,2008-07-19 19:44:00,0,Pass,16,0.035555555555555556,434,0.8943635749183747,0.9644444444444444,0.9364120966340166,High,development
WF-001084,2008-09-25 15:12:00,0,Pass,8,0.017777777777777778,442,0.893161043275428,0.9822222222222222,0.9465977506435045,High,development
WF-000496,2008-08-28 20:39:00,1,Fail,4,0.008888888888888889,446,0.8908436362157439,0.9911111111111112,0.9510041211529643,High,development
