wafer_id,target,status,anomaly_score,dataset_split
WF-000309,0,Pass,0.2642245939538493,development
WF-000236,1,Fail,0.09811583664012595,development
WF-000183,1,Fail,0.3742209933369325,development
WF-001304,1,Fail,0.3880003750411049,development
WF-001248,0,Pass,0.3776764371996669,development
WF-001179,0,Pass,0.13385334242491226,development
WF-000934,0,Pass,0.353562054972952,development
WF-000172,0,Pass,0.3670892358544952,development
WF-000433,0,Pass,0.32303177937773664,development
WF-001491,0,Pass,0.3274244269575185,development
WF-000684,0,Pass,0.29800971897435585,development
WF-000597,0,Pass,0.1957225963643556,development
WF-000917,0,Pass,0.1953238709050125,development
WF-000458,0,Pass,1.0,development
WF-000378,0,Pass,0.22544527809108178,development
WF-000704,0,Pass,0.3531360890958008,development
WF-000791,0,Pass,0.2057936315183614,development
WF-000538,0,Pass,0.3571140763039094,development
WF-001509,0,Pass,0.24711097938400386,development
WF-001511,0,Pass,0.3182221176785711,development
WF-001438,0,Pass,0.3277101520369881,development
WF-000362,0,Pass,0.2624191269501239,development
WF-000772,0,Pass,0.17440511880942422,development
WF-000336,0,Pass,0.4097980106280947,development
WF-000733,0,Pass,0.27673846159403775,development
WF-000757,0,Pass,0.31659902308467197,development
WF-001054,0,Pass,0.19326196775662272,development
WF-001380,0,Pass,0.2108730641055857,development
WF-000331,0,Pass,0.17884613297352922,development
WF-001300,0,Pass,0.21938802028646454,development
WF-000901,0,Pass,0.021612254713993962,development
WF-001539,0,Pass,0.1376754445169746,development
WF-001278,0,Pass,0.10151805807888867,development
WF-000437,0,Pass,0.2925856966385238,development
WF-001567,0,Pass,0.1827690001136291,development
WF-000386,0,Pass,0.5368869966402618,development
WF-000569,0,Pass,0.31791655964907495,development
WF-001501,0,Pass,0.29102176049279876,development
WF-000007,0,Pass,0.24304437962829673,development
WF-001084,0,Pass,0.3164135573378592,development
WF-000496,1,Fail,0.16119491095871774,development
WF-000135,0,Pass,0.23022283612801356,development
WF-001276,0,Pass,0.2035758259006647,development
WF-000743,0,Pass,0.18137415318251032,development
WF-000355,0,Pass,0.14536567310075488,development
WF-001366,1,Fail,0.2992322487819935,development
WF-000020,0,Pass,0.2703272838025861,development
WF-000104,0,Pass,0.30339710587196334,development
WF-000593,0,Pass,0.3135258235798464,development
WF-000643,0,Pass,0.1269287249138364,development
WF-000152,0,Pass,0.19187838601206303,development
WF-000468,0,Pass,0.16669559128831227,development
WF-000399,0,Pass,0.2234572340631256,development
WF-000156,0,Pass,0.14881105329101005,development
WF-001505,0,Pass,0.12775481275486894,development
WF-000215,0,Pass,0.11852967994812294,development
WF-001359,0,Pass,0.2688362421639902,development
WF-001195,0,Pass,0.22667078282953293,development
WF-000892,0,Pass,0.2528873787920561,development
WF-000983,0,Pass,0.32287550262914955,development
WF-001536,0,Pass,0.2556768933978643,development
WF-000686,0,Pass,0.1453601487348344,development
WF-000288,0,Pass,0.2959085823527412,development
WF-000385,0,Pass,0.44443183203209013,development
WF-000971,0,Pass,0.199458412815928,development
WF-001166,0,Pass,0.2908884090666237,development
WF-001388,0,Pass,0.38219587945839684,development
WF-000797,0,Pass,0.20223087346475058,development
WF-001047,0,Pass,0.14386598593111544,development
WF-000447,0,Pass,0.24272796635734978,development
WF-001116,0,Pass,0.15739690869666834,development
WF-000205,0,Pass,0.19309184987647465,development
WF-000576,0,Pass,0.0848470828614424,development
WF-000705,0,Pass,0.19987793238129023,development
WF-000186,0,Pass,0.2737077996637016,development
WF-000671,0,Pass,0.1900747849968261,development
WF-000660,0,Pass,0.14988439528525255,development
WF-000401,0,Pass,0.09167748459836868,development
WF-000837,0,Pass,0.2382181051923402,development
WF-000159,1,Fail,0.11960830690908102,development
WF-000979,0,Pass,0.04405528871829171,development
WF-001045,0,Pass,0.24841876403205268,development
WF-000883,0,Pass,0.0918993802507356,development
WF-000652,0,Pass,0.07636373053437748,development
WF-001090,0,Pass,0.279274434274311,development
WF-001013,0,Pass,0.2521309699899823,development
WF-000825,0,Pass,0.18467346899511075,development
WF-000573,0,Pass,0.15127071301550893,development
WF-000107,0,Pass,0.3249673795805627,development
WF-001506,0,Pass,0.24352961170798124,development
WF-001191,0,Pass,0.34191681871265445,development
WF-000678,0,Pass,0.050805127987294064,development
WF-000180,0,Pass,0.38464264266035497,development
WF-001235,0,Pass,0.24083740697674103,development
WF-000057,0,Pass,0.15512137696525424,development
WF-000911,0,Pass,0.2209498756513839,development
WF-001133,0,Pass,0.08908486686260621,development
WF-000728,0,Pass,0.11254202779214623,development
WF-000565,0,Pass,0.19617088404057295,development
WF-001231,0,Pass,0.5984547400503545,development
WF-000244,1,Fail,0.2502178239855174,development
WF-000752,0,Pass,0.15455820222018865,development
WF-001555,0,Pass,0.21910316437805227,development
WF-000962,0,Pass,0.2484439839703591,development
WF-000050,1,Fail,0.07526105014525591,development
WF-000094,0,Pass,0.5541858420302035,development
WF-000765,0,Pass,0.14271371908271321,development
WF-000662,0,Pass,0.090768455855408,development
WF-001372,0,Pass,0.17094581695766303,development
WF-000060,0,Pass,0.1895818395496565,development
WF-001450,0,Pass,0.22102129314831645,development
WF-001105,0,Pass,0.39563834254131663,development
WF-001110,0,Pass,0.15941443145327666,development
WF-000334,0,Pass,0.13272417797907823,development
WF-000695,0,Pass,0.20220505817083897,development
WF-000633,0,Pass,0.17052507038789383,development
WF-001018,0,Pass,0.12623828794911887,development
WF-000194,0,Pass,0.29747738710182425,development
WF-000624,0,Pass,0.21700242677269355,development
WF-001327,0,Pass,0.3252149771227155,development
WF-000424,0,Pass,0.2978454474456207,development
WF-000092,0,Pass,0.5383999402026127,development
WF-000729,0,Pass,0.20004719023064715,development
WF-000782,0,Pass,0.18387977483117388,development
WF-001036,0,Pass,0.137911031683761,development
WF-000160,0,Pass,0.32591759295434264,development
WF-000929,0,Pass,0.2730876205588506,development
WF-001385,0,Pass,0.421659140574039,development
WF-001029,0,Pass,0.2266914489891319,development
WF-000991,0,Pass,0.22352876672814992,development
WF-000413,0,Pass,0.13641447324346234,development
WF-001119,0,Pass,0.1821713887034714,development
WF-001265,0,Pass,0.21197492365279208,development
WF-000809,0,Pass,0.18605071721509414,development
WF-000074,0,Pass,0.2321238495490522,development
WF-000857,0,Pass,0.4995141176104172,development
WF-001198,0,Pass,0.2388009052800019,development
WF-000163,0,Pass,0.1528674730416329,development
WF-000829,0,Pass,0.24234650384932022,development
WF-001318,0,Pass,0.09418977812143048,development
WF-000696,0,Pass,0.3329379825488301,development
WF-000434,0,Pass,0.2185972049910371,development
WF-000511,0,Pass,0.4871970788221535,development
WF-001212,1,Fail,0.1558365225895362,development
WF-000361,0,Pass,0.28559754424302686,development
WF-001170,0,Pass,0.28223117527772335,development
WF-001073,0,Pass,0.22389765718611718,development
WF-001063,1,Fail,0.170380829925823,development
WF-001486,0,Pass,0.33047867650413143,development
WF-001527,0,Pass,0.2761384809252656,development
WF-000552,0,Pass,0.1722394124656653,development
WF-000161,0,Pass,0.20028040441735828,development
WF-001360,0,Pass,0.11526620076942323,development
WF-000862,0,Pass,0.3564828944665266,development
WF-000187,1,Fail,0.6646798947910936,development
WF-001140,0,Pass,0.14452753579629476,development
WF-000989,0,Pass,0.05401452088652255,development
WF-000226,0,Pass,0.10817886924830487,development
WF-000689,0,Pass,0.16481978728423868,development
WF-000392,0,Pass,0.17489357290963087,development
WF-000039,1,Fail,0.3117356656807342,development
WF-000210,0,Pass,0.215300368084484,development
WF-001144,0,Pass,0.18151602898448863,development
WF-001301,0,Pass,0.24290036775873058,development
WF-001406,0,Pass,0.21281859729529826,development
WF-000242,1,Fail,0.23310258729057975,development
WF-000427,0,Pass,0.3454858403900009,development
WF-001259,0,Pass,0.11960469765415564,development
WF-001379,0,Pass,0.22096950251930014,development
WF-000365,0,Pass,0.23938717206855037,development
WF-000872,1,Fail,0.38065724391295297,development
WF-001375,0,Pass,0.2116751445545286,development
WF-001332,0,Pass,0.30025891874462834,development
WF-000508,0,Pass,0.11602699158915425,development
WF-000134,0,Pass,0.38574501862802785,development
WF-001075,0,Pass,0.2836891525123391,development
WF-000129,0,Pass,0.20284432587532736,development
WF-000712,0,Pass,0.14884083535145895,development
WF-000871,0,Pass,0.3658686205877131,development
WF-000151,0,Pass,0.28201508986570056,development
WF-000827,1,Fail,0.17332256734929863,development
WF-001114,0,Pass,0.23377567379759462,development
WF-000604,0,Pass,0.2162032542368206,development
WF-000088,0,Pass,0.3288497591564343,development
WF-001543,0,Pass,0.2511097848196263,development
WF-000987,0,Pass,0.25570752964826343,development
WF-000089,0,Pass,0.4356873217107103,development
WF-000132,1,Fail,0.3840369784359825,development
WF-000061,0,Pass,0.22423347426162155,development
WF-000371,0,Pass,0.15132854698575404,development
WF-001146,0,Pass,0.36340875109271537,development
WF-000994,0,Pass,0.2769603148453385,development
WF-001083,0,Pass,0.2256348102973258,development
WF-001180,0,Pass,0.24431598575390087,development
WF-000491,0,Pass,0.26954121852075524,development
WF-000390,0,Pass,0.14805126763257298,development
WF-000067,0,Pass,0.33111942311720594,development
WF-000195,0,Pass,0.20135167836571827,development
WF-000423,0,Pass,0.22315201497518508,development
WF-001348,0,Pass,0.41255556603529475,development
WF-001416,0,Pass,0.2454541667437399,development
WF-000943,0,Pass,0.43047730424865227,development
WF-000958,0,Pass,0.18996838630518353,development
WF-001339,0,Pass,0.30240828881973647,development
WF-000439,0,Pass,0.3320011291717041,development
WF-000165,0,Pass,0.19334178290783194,development
WF-001039,0,Pass,0.3242929454883592,development
WF-001282,0,Pass,0.26022387300899036,development
WF-000083,1,Fail,0.21821073930826082,development
WF-000419,0,Pass,0.16920180107513558,development
WF-001400,0,Pass,0.13297811203987403,development
WF-000645,0,Pass,0.18374231764083457,development
WF-000683,0,Pass,0.11159387654333874,development
WF-000136,0,Pass,0.28937753375580166,development
WF-000486,0,Pass,0.06800920992966494,development
WF-000455,0,Pass,0.18505631553229984,development
WF-001197,0,Pass,0.17641553847242258,development
WF-000998,0,Pass,0.1305941555017335,development
WF-001496,0,Pass,0.3134992502153946,development
WF-000952,0,Pass,0.20650904676837772,development
WF-001150,0,Pass,0.19248570991472286,development
WF-001042,0,Pass,0.082992238049232,development
WF-000031,0,Pass,0.3422653434256791,development
WF-000248,0,Pass,0.19293529826858433,development
WF-000935,0,Pass,0.16060114063973563,development
WF-000200,0,Pass,0.395561178339211,development
WF-000295,1,Fail,0.1051229206138078,development
WF-000500,0,Pass,0.20049704030343665,development
WF-001515,0,Pass,0.31112932058138104,development
WF-000730,0,Pass,0.09248713196430339,development
WF-001390,0,Pass,0.17323798602781046,development
WF-000116,1,Fail,0.3789727579383319,development
