wafer_id,target,historical_weighted_failure_rate,failed_neighbour_count,failed_neighbour_rate,mean_similarity,maximum_similarity,minimum_similarity,mean_failed_neighbour_similarity,mean_passed_neighbour_similarity
WF-000309,0,0.07984850428236479,1.0,0.1,0.43155168240236785,0.5118094007058013,0.34458756360367193,0.34458756360367193,0.44121436226888966
WF-000236,1,0.10394961793881217,1.0,0.1,0.22514403264054778,0.9628518467535792,0.01791671419628453,0.234036361741884,0.22415599607373268
WF-000183,1,0.0,0.0,0.0,0.09603149663422567,0.6622721311946721,0.0042564043107515895,0.0,0.09603149663422567
WF-001304,1,0.30897052562054467,3.0,0.3,0.5152879708729714,0.7487027744329577,0.3537943654613279,0.5306959840218862,0.5086845366662937
WF-001248,0,0.0,0.0,0.0,0.26415460400073043,0.5473127230055158,0.14332068966754585,0.0,0.26415460400073043
WF-001179,0,0.0,0.0,0.0,0.48759989542185317,0.9562504927073693,0.26128326666930274,0.0,0.48759989542185317
WF-000934,0,0.0,0.0,0.0,0.3220465709689816,0.7561689758267881,0.1767794321955883,0.0,0.3220465709689816
WF-000172,0,0.9999997551854523,4.0,0.4,0.0016511166978552354,0.01651038508891476,2.9534666877098733e-12,0.004127790734094619,6.736956462737695e-10
WF-000433,0,0.2850760482208482,1.0,0.1,0.24164108015915348,0.6888608421958868,0.1399896070002732,0.6888608421958868,0.19194999548840533
WF-001491,0,0.0,0.0,0.0,0.07122866809464715,0.6358483394359976,0.0019331091374304784,0.0,0.07122866809464715
WF-000684,0,0.1764285799845138,1.0,0.1,0.5507671304404957,0.9717106272576215,0.33404364621309995,0.9717106272576215,0.5039956307941484
WF-000597,0,0.0,0.0,0.0,0.6697978522777931,0.853380831974207,0.5675329862742843,0.0,0.6697978522777931
WF-000917,0,0.0,0.0,0.0,0.4576883408378576,0.8905310162429034,0.23739720269550282,0.0,0.4576883408378576
WF-000458,0,0.2,2.0,0.2,0.0,0.0,0.0,0.0,0.0
WF-000378,0,0.030197192613863784,1.0,0.1,0.051946279231867176,0.38580222963198757,0.001955863689006845,0.015686317995382452,0.05597516381369881
WF-000704,0,0.6193672748176872,1.0,0.1,0.10012266623237676,0.6201270293182806,0.003965949168703146,0.6201270293182806,0.042344403667276334
WF-000791,0,0.08972254083499222,1.0,0.1,0.6702338207336911,0.9103238928754026,0.5098735244522514,0.6013508134977146,0.6778874882043552
WF-000538,0,0.0,0.0,0.0,0.3433809589689737,0.6897584400012517,0.16479448144827485,0.0,0.3433809589689737
WF-001509,0,0.0,0.0,0.0,0.4998229709508727,0.6995996106451647,0.30438352401445135,0.0,0.4998229709508727
WF-001511,0,0.0,0.0,0.0,0.026971084599324985,0.06844890751133222,0.00446737743630445,0.0,0.026971084599324985
WF-001438,0,0.0,0.0,0.0,0.5235398247300291,0.8339682538813197,0.2644570712336623,0.0,0.5235398247300291
WF-000362,0,0.0,0.0,0.0,0.14654698539122735,0.40186522731580393,0.05272572383640375,0.0,0.14654698539122735
WF-000772,0,0.10876641446003767,1.0,0.1,0.3963257869562876,0.49250120653613494,0.25734507547164337,0.43106934805288166,0.39246539127888824
WF-000336,0,0.0,0.0,0.0,0.13382905168363984,0.2786486529112325,0.03209984374786893,0.0,0.13382905168363984
WF-000733,0,0.0,0.0,0.0,0.7681609237987749,0.9451747775421495,0.6743444527305993,0.0,0.7681609237987749
WF-000757,0,0.09226010201698712,1.0,0.1,0.6018340846261403,0.8352928035945225,0.46972741978484744,0.5552527404490776,0.6070097895347027
WF-001054,0,0.07367978406852758,1.0,0.1,0.5526592456374625,0.7325865030264656,0.4071981388204359,0.4071981388204359,0.5688215908393544
WF-001380,0,0.0,0.0,0.0,0.5989500928907235,0.891061830611589,0.394715995111396,0.0,0.5989500928907235
WF-000331,0,0.0,0.0,0.0,0.07505730174917885,0.16024444646746,0.045614923402884304,0.0,0.07505730174917885
WF-001300,0,0.08708148732878294,1.0,0.1,0.6732156559636054,0.8503879444700319,0.5298720601867457,0.5862462061433301,0.6828789281658583
WF-000901,0,0.0,0.0,0.0,0.3422559762345013,0.5241011350041481,0.24981173652534958,0.0,0.3422559762345013
WF-001539,0,0.08562494601535312,1.0,0.1,0.6466944858185969,0.82550719690421,0.5333935131007277,0.553731804366439,0.6570236726466144
WF-001278,0,0.21276069753898472,2.0,0.2,0.5232196680487029,0.8412157896455661,0.3983195244388213,0.5566029077007902,0.5148738581356809
WF-000437,0,0.072054080201576,1.0,0.1,0.404009843404439,0.7279148331617857,0.20602762308871173,0.2911055765888961,0.4165547619394993
WF-001567,0,0.0,0.0,0.0,0.42106368931791727,0.8060988419505208,0.2998805302894516,0.0,0.42106368931791727
WF-000386,0,0.08109101561563752,1.0,0.1,0.6109761212283017,0.8761750973831607,0.49544674187305854,0.49544674187305854,0.6238127189344398
WF-000569,0,0.3879771623778293,4.0,0.4,0.3714040353125582,0.7748818473700492,0.20521544722796123,0.36024070929060364,0.378846252660528
WF-001501,0,0.0,0.0,0.0,0.6215687505208953,0.8147374160321176,0.47753043807110823,0.0,0.6215687505208953
WF-000007,0,0.0,0.0,0.0,0.23354467309187457,0.43449364916113653,0.15939260143729517,0.0,0.23354467309187457
WF-001084,0,0.08778733659078239,1.0,0.1,0.22574261712554952,0.35605914873290423,0.13295029066124994,0.19817343112484734,0.22880586001451647
WF-000496,1,0.09105940097700614,1.0,0.1,0.5305552909738107,0.9678639875004839,0.39958662590068755,0.4831204698125639,0.5358258266583937
WF-000135,0,0.0,0.0,0.0,0.08130263798592682,0.6997043717657719,0.0009912821210878334,0.0,0.08130263798592682
WF-001276,0,0.0,0.0,0.0,0.42896216295660067,0.8532593716622534,0.22116340007336183,0.0,0.42896216295660067
WF-000743,0,0.23858506569947258,2.0,0.2,0.4255019063548513,0.7003542753978668,0.19912207623519868,0.5075920014146151,0.40497938258991034
WF-000355,0,0.29761121967992826,3.0,0.3,0.6378811728306102,0.8775199967847678,0.520825583684428,0.63280197952327,0.6400579699623272
WF-001366,1,0.2243235479736956,2.0,0.2,0.6094139409105492,0.8197820569191695,0.4669206033797796,0.6835294870484325,0.5908850543760784
WF-000020,0,0.02510146263995719,1.0,0.1,0.09867706344731038,0.20554995246849947,0.024769386215433467,0.024769386215433467,0.10688902758418559
WF-000104,0,0.0946513492068843,1.0,0.1,0.288600664048443,0.5330152277118683,0.1980958876496018,0.27316442234187877,0.290315802015839
WF-000593,0,0.0,0.0,0.0,0.4468705901522177,0.6734380679191252,0.28148430558316945,0.0,0.4468705901522177
WF-000643,0,0.0,0.0,0.0,0.6413349877611075,0.937006239094494,0.336188835766688,0.0,0.6413349877611075
WF-000152,0,0.0,0.0,0.0,0.003693776526803369,0.009575265399099713,0.00044437436030820405,0.0,0.003693776526803369
WF-000468,0,0.0,0.0,0.0,0.4143689172005903,0.54752917982523,0.3153661728374319,0.0,0.4143689172005903
WF-000399,0,0.0,0.0,0.0,0.36156182795062264,0.6309148040811061,0.26584234772324855,0.0,0.36156182795062264
WF-000156,0,0.0,0.0,0.0,0.05423855418048178,0.26947944773564103,1.9957678981248482e-05,0.0,0.05423855418048178
WF-001505,0,0.0,0.0,0.0,0.032050745316313065,0.08539453175078345,0.0072829725263799,0.0,0.032050745316313065
WF-000215,0,0.15417519773267183,2.0,0.2,0.21076130889441816,0.4648728478811039,0.10838606979094652,0.1624708323659682,0.22283392802653063
WF-001359,0,0.0,0.0,0.0,0.43237860060054495,0.8520943435231713,0.29562421604325334,0.0,0.43237860060054495
WF-001195,0,0.0,0.0,0.0,0.33414632775278486,0.5458514430040065,0.17128676447000699,0.0,0.33414632775278486
WF-000892,0,0.0,0.0,0.0,0.30861216603968317,0.651582774980714,0.12448147496734886,0.0,0.30861216603968317
WF-000983,0,0.11182790787599815,1.0,0.1,0.6394201903176585,0.7768618611604824,0.5225414843929167,0.7150502213689632,0.6310168535341802
WF-001536,0,0.0,0.0,0.0,2.3820919374683853e-07,9.96384200401066e-07,9.785700254958877e-09,0.0,2.3820919374683853e-07
WF-000686,0,0.09374528217691096,1.0,0.1,0.17148815183753185,0.25317143195883796,0.112772678325956,0.16076205184006376,0.1726799407261394
WF-000288,0,0.0,0.0,0.0,0.5030249490690404,0.8195545246764142,0.38777885613683616,0.0,0.5030249490690404
WF-000385,0,0.0,0.0,0.0,0.48390004653828644,0.6115760209145423,0.35587772210444263,0.0,0.48390004653828644
WF-000971,0,0.0,0.0,0.0,0.13939374235510074,0.26962268500073533,0.07377814280608952,0.0,0.13939374235510074
WF-001166,0,0.0,0.0,0.0,0.6385760883948631,0.8537591806089098,0.46538129172095216,0.0,0.6385760883948631
WF-001388,0,0.09159980616872587,1.0,0.1,0.506068843519817,0.6646849545343901,0.3986672840416178,0.463558079744465,0.5107922617170783
WF-000797,0,0.0,0.0,0.0,0.5157140169295935,0.6727276782701298,0.41944198561448287,0.0,0.5157140169295935
WF-001047,0,0.0645864580626147,1.0,0.1,0.28942762206071604,0.6462172659120886,0.14248816342856846,0.18693104974386734,0.30081613009592145
WF-000447,0,0.0,0.0,0.0,0.5615902835509373,0.752675498221838,0.3745758186859746,0.0,0.5615902835509373
