feature,dtype,non_missing_count,missing_count,missing_rate,unique_count,is_constant,variance,minimum,maximum,mean,median,standard_deviation,missingness_category
sensor_293,float64,138,1429,0.9119336311423102,92,False,0.0001321040622024754,0.0041,0.0831,0.01448695652173913,0.011,0.011493653126942513,High missingness
sensor_158,float64,138,1429,0.9119336311423102,128,False,0.0015632258203744842,0.0118,0.2876,0.047104347826086954,0.03545,0.03953765066837538,High missingness
sensor_294,float64,138,1429,0.9119336311423102,138,False,18959.21988262364,82.3233,879.226,335.55115652173913,317.8671,137.69248302875377,High missingness
sensor_159,float64,138,1429,0.9119336311423102,138,False,165525.95445651622,234.0996,2505.2998,1039.6507376811596,1020.30005,406.84881031719414,High missingness
sensor_359,float64,226,1341,0.8557753669432036,20,False,1.5579410029498528e-07,0.0017,0.0047,0.002442920353982301,0.0024,0.00039470761367749836,High missingness
sensor_221,float64,226,1341,0.8557753669432036,69,False,3.956145722713864e-06,0.0057,0.024,0.00921283185840708,0.00895,0.0019890062148504874,High missingness
sensor_086,float64,226,1341,0.8557753669432036,97,False,8.575093805309733e-06,0.1053,0.1184,0.11278318584070797,0.11355000000000001,0.0029283261097954464,High missingness
sensor_493,float64,226,1341,0.8557753669432036,226,False,3.0950035010385446,4.8882,21.0443,8.170942920353982,8.00895,1.7592622036065415,High missingness
sensor_110,float64,549,1018,0.6496490108487556,96,False,7.560109376038712e-05,0.7848,0.9842,0.9799925318761384,0.981,0.008694888944683947,High missingness
sensor_383,float64,549,1018,0.6496490108487556,29,False,0.0007150255983008254,0.0001,0.6271,0.0018256830601092891,0.0005,0.02673996257104384,High missingness
sensor_245,float64,549,1018,0.6496490108487556,66,False,0.007160141822490793,0.0003,1.9844,0.005755009107468125,0.0017,0.08461762122921439,High missingness
sensor_384,float64,549,1018,0.6496490108487556,525,False,1.7983340765992581,0.0875,30.9982,0.5410398907103825,0.3726,1.3410197897865856,High missingness
sensor_111,float64,549,1018,0.6496490108487556,546,False,3.5347283260002276,88.1938,106.9227,101.31825282331512,101.4817,1.8800873187169334,High missingness
sensor_112,float64,549,1018,0.6496490108487556,545,False,4.432363528516282,213.0083,236.9546,231.81889763205828,231.2012,2.105317916257847,High missingness
sensor_385,float64,549,1018,0.6496490108487556,536,False,10.03893210892492,0.3383,74.8445,1.2854482695810565,1.1063,3.168427387352426,High missingness
sensor_246,float64,549,1018,0.6496490108487556,539,False,18.797550918141543,0.2914,99.9022,1.7297233151183968,1.1851,4.335614249231767,High missingness
sensor_519,float64,549,1018,0.6496490108487556,542,False,22.239659312418997,0.4674,111.3495,1.8062728597449909,1.5891,4.71589432795297,High missingness
sensor_518,float64,549,1018,0.6496490108487556,543,False,23.91858885090762,0.288,113.2758,1.7389021857923495,1.1543,4.890663436682964,High missingness
sensor_247,float64,549,1018,0.6496490108487556,547,False,100.9037088555044,1.1022,237.1837,4.14874189435337,3.673,10.045083815255321,High missingness
sensor_517,float64,549,1018,0.6496490108487556,498,False,116.29206713838936,0.0287,252.8604,0.6788978142076503,0.1747,10.783879966801807,High missingness
sensor_581,float64,618,949,0.6056158264199106,120,False,9.709367725658657e-06,0.001,0.0286,0.005395954692556635,0.0047,0.003115985835278886,High missingness
sensor_580,float64,618,949,0.6056158264199106,260,False,9.293216209553483e-05,0.0032,0.0799,0.016829449838187703,0.0148,0.00964013288785662,High missingness
sensor_579,float64,618,949,0.6056158264199106,322,False,0.00013760017655111643,-0.0169,0.1028,0.021614563106796117,0.0204,0.011730310164318606,High missingness
sensor_582,float64,618,949,0.6056158264199106,611,False,7659.919529835849,0.0,737.3048,97.93437297734629,72.2889,87.52096623001742,High missingness
sensor_347,float64,773,794,0.5067007019783025,762,False,291.6409430608228,1.0177,187.7589,5.770211642949547,3.0464,17.077498149928836,Moderate missingness
sensor_346,float64,773,794,0.5067007019783025,767,False,306.70395341911603,1.7694,257.0106,7.958375808538163,5.567,17.512965294864145,Moderate missingness
sensor_074,float64,773,794,0.5067007019783025,770,False,310.812867686085,456.0447,692.4256,468.02040401034924,466.0817,17.629885640187375,Moderate missingness
sensor_073,float64,773,794,0.5067007019783025,773,False,338.13623906516705,-59.4777,175.4132,150.36155213454074,152.2972,18.388481151665765,Moderate missingness
