feature,missing_count,missing_rate,recommended_action
sensor_158,1429,0.9119336311423102,Consider dropping
sensor_293,1429,0.9119336311423102,Consider dropping
sensor_294,1429,0.9119336311423102,Consider dropping
sensor_159,1429,0.9119336311423102,Consider dropping
sensor_493,1341,0.8557753669432036,Consider dropping
sensor_359,1341,0.8557753669432036,Consider dropping
sensor_086,1341,0.8557753669432036,Consider dropping
sensor_221,1341,0.8557753669432036,Consider dropping
sensor_247,1018,0.6496490108487556,Consider dropping
sensor_110,1018,0.6496490108487556,Consider dropping
sensor_111,1018,0.6496490108487556,Consider dropping
sensor_112,1018,0.6496490108487556,Consider dropping
sensor_519,1018,0.6496490108487556,Consider dropping
sensor_517,1018,0.6496490108487556,Consider dropping
sensor_246,1018,0.6496490108487556,Consider dropping
sensor_245,1018,0.6496490108487556,Consider dropping
sensor_383,1018,0.6496490108487556,Consider dropping
sensor_384,1018,0.6496490108487556,Consider dropping
sensor_385,1018,0.6496490108487556,Consider dropping
sensor_518,1018,0.6496490108487556,Consider dropping
sensor_579,949,0.6056158264199106,Consider dropping
sensor_580,949,0.6056158264199106,Consider dropping
sensor_581,949,0.6056158264199106,Consider dropping
sensor_582,949,0.6056158264199106,Consider dropping
sensor_347,794,0.5067007019783025,Evaluate carefully before imputation
sensor_074,794,0.5067007019783025,Evaluate carefully before imputation
sensor_073,794,0.5067007019783025,Evaluate carefully before imputation
sensor_346,794,0.5067007019783025,Evaluate carefully before imputation
sensor_113,715,0.4562858966177409,Evaluate carefully before imputation
sensor_248,715,0.4562858966177409,Evaluate carefully before imputation
sensor_386,715,0.4562858966177409,Evaluate carefully before imputation
sensor_520,715,0.4562858966177409,Evaluate carefully before imputation
sensor_563,273,0.1742182514358647,Median imputation likely acceptable
sensor_564,273,0.1742182514358647,Median imputation likely acceptable
sensor_565,273,0.1742182514358647,Median imputation likely acceptable
sensor_566,273,0.1742182514358647,Median imputation likely acceptable
sensor_567,273,0.1742182514358647,Median imputation likely acceptable
sensor_568,273,0.1742182514358647,Median imputation likely acceptable
sensor_570,273,0.1742182514358647,Median imputation likely acceptable
sensor_569,273,0.1742182514358647,Median imputation likely acceptable
sensor_556,260,0.16592214422463306,Median imputation likely acceptable
sensor_547,260,0.16592214422463306,Median imputation likely acceptable
sensor_549,260,0.16592214422463306,Median imputation likely acceptable
sensor_550,260,0.16592214422463306,Median imputation likely acceptable
sensor_551,260,0.16592214422463306,Median imputation likely acceptable
sensor_552,260,0.16592214422463306,Median imputation likely acceptable
sensor_553,260,0.16592214422463306,Median imputation likely acceptable
sensor_554,260,0.16592214422463306,Median imputation likely acceptable
sensor_555,260,0.16592214422463306,Median imputation likely acceptable
sensor_548,260,0.16592214422463306,Median imputation likely acceptable
sensor_557,260,0.16592214422463306,Median imputation likely acceptable
sensor_558,260,0.16592214422463306,Median imputation likely acceptable
sensor_498,51,0.03254626675175495,Median imputation likely acceptable
sensor_363,51,0.03254626675175495,Median imputation likely acceptable
sensor_497,51,0.03254626675175495,Median imputation likely acceptable
sensor_226,51,0.03254626675175495,Median imputation likely acceptable
sensor_090,51,0.03254626675175495,Median imputation likely acceptable
sensor_091,51,0.03254626675175495,Median imputation likely acceptable
sensor_364,51,0.03254626675175495,Median imputation likely acceptable
sensor_225,51,0.03254626675175495,Median imputation likely acceptable
sensor_212,24,0.015315890236119975,Median imputation likely acceptable
sensor_486,24,0.015315890236119975,Median imputation likely acceptable
sensor_179,24,0.015315890236119975,Median imputation likely acceptable
sensor_356,24,0.015315890236119975,Median imputation likely acceptable
sensor_355,24,0.015315890236119975,Median imputation likely acceptable
sensor_354,24,0.015315890236119975,Median imputation likely acceptable
sensor_353,24,0.015315890236119975,Median imputation likely acceptable
sensor_351,24,0.015315890236119975,Median imputation likely acceptable
sensor_350,24,0.015315890236119975,Median imputation likely acceptable
sensor_526,24,0.015315890236119975,Median imputation likely acceptable
sensor_484,24,0.015315890236119975,Median imputation likely acceptable
sensor_349,24,0.015315890236119975,Median imputation likely acceptable
sensor_213,24,0.015315890236119975,Median imputation likely acceptable
sensor_485,24,0.015315890236119975,Median imputation likely acceptable
sensor_487,24,0.015315890236119975,Median imputation likely acceptable
sensor_451,24,0.015315890236119975,Median imputation likely acceptable
sensor_488,24,0.015315890236119975,Median imputation likely acceptable
sensor_489,24,0.015315890236119975,Median imputation likely acceptable
sensor_490,24,0.015315890236119975,Median imputation likely acceptable
sensor_042,24,0.015315890236119975,Median imputation likely acceptable
sensor_041,24,0.015315890236119975,Median imputation likely acceptable
sensor_119,24,0.015315890236119975,Median imputation likely acceptable
sensor_314,24,0.015315890236119975,Median imputation likely acceptable
sensor_315,24,0.015315890236119975,Median imputation likely acceptable
sensor_215,24,0.015315890236119975,Median imputation likely acceptable
sensor_216,24,0.015315890236119975,Median imputation likely acceptable
sensor_217,24,0.015315890236119975,Median imputation likely acceptable
sensor_218,24,0.015315890236119975,Median imputation likely acceptable
sensor_483,24,0.015315890236119975,Median imputation likely acceptable
sensor_352,24,0.015315890236119975,Median imputation likely acceptable
sensor_082,24,0.015315890236119975,Median imputation likely acceptable
sensor_078,24,0.015315890236119975,Median imputation likely acceptable
sensor_392,24,0.015315890236119975,Median imputation likely acceptable
sensor_211,24,0.015315890236119975,Median imputation likely acceptable
sensor_254,24,0.015315890236119975,Median imputation likely acceptable
sensor_450,24,0.015315890236119975,Median imputation likely acceptable
sensor_214,24,0.015315890236119975,Median imputation likely acceptable
sensor_076,24,0.015315890236119975,Median imputation likely acceptable
sensor_083,24,0.015315890236119975,Median imputation likely acceptable
sensor_077,24,0.015315890236119975,Median imputation likely acceptable
sensor_081,24,0.015315890236119975,Median imputation likely acceptable
sensor_080,24,0.015315890236119975,Median imputation likely acceptable
sensor_079,24,0.015315890236119975,Median imputation likely acceptable
sensor_275,14,0.008934269304403318,Median imputation likely acceptable
sensor_007,14,0.008934269304403318,Median imputation likely acceptable
sensor_414,14,0.008934269304403318,Median imputation likely acceptable
sensor_276,14,0.008934269304403318,Median imputation likely acceptable
sensor_005,14,0.008934269304403318,Median imputation likely acceptable
sensor_274,14,0.008934269304403318,Median imputation likely acceptable
sensor_413,14,0.008934269304403318,Median imputation likely acceptable
sensor_412,14,0.008934269304403318,Median imputation likely acceptable
sensor_143,14,0.008934269304403318,Median imputation likely acceptable
sensor_139,14,0.008934269304403318,Median imputation likely acceptable
sensor_140,14,0.008934269304403318,Median imputation likely acceptable
sensor_006,14,0.008934269304403318,Median imputation likely acceptable
sensor_141,14,0.008934269304403318,Median imputation likely acceptable
sensor_416,14,0.008934269304403318,Median imputation likely acceptable
sensor_277,14,0.008934269304403318,Median imputation likely acceptable
sensor_278,14,0.008934269304403318,Median imputation likely acceptable
sensor_415,14,0.008934269304403318,Median imputation likely acceptable
sensor_142,14,0.008934269304403318,Median imputation likely acceptable
sensor_003,14,0.008934269304403318,Median imputation likely acceptable
sensor_004,14,0.008934269304403318,Median imputation likely acceptable
sensor_492,12,0.007657945118059987,Median imputation likely acceptable
sensor_358,12,0.007657945118059987,Median imputation likely acceptable
sensor_085,12,0.007657945118059987,Median imputation likely acceptable
sensor_220,12,0.007657945118059987,Median imputation likely acceptable
sensor_429,10,0.006381620931716656,Median imputation likely acceptable
sensor_156,10,0.006381620931716656,Median imputation likely acceptable
sensor_291,10,0.006381620931716656,Median imputation likely acceptable
sensor_020,10,0.006381620931716656,Median imputation likely acceptable
sensor_405,9,0.00574345883854499,Median imputation likely acceptable
sensor_404,9,0.00574345883854499,Median imputation likely acceptable
sensor_403,9,0.00574345883854499,Median imputation likely acceptable
sensor_266,9,0.00574345883854499,Median imputation likely acceptable
sensor_265,9,0.00574345883854499,Median imputation likely acceptable
sensor_008,9,0.00574345883854499,Median imputation likely acceptable
sensor_267,9,0.00574345883854499,Median imputation likely acceptable
sensor_144,9,0.00574345883854499,Median imputation likely acceptable
sensor_279,9,0.00574345883854499,Median imputation likely acceptable
sensor_417,9,0.00574345883854499,Median imputation likely acceptable
sensor_260,9,0.00574345883854499,Median imputation likely acceptable
sensor_537,9,0.00574345883854499,Median imputation likely acceptable
sensor_531,9,0.00574345883854499,Median imputation likely acceptable
sensor_395,9,0.00574345883854499,Median imputation likely acceptable
sensor_396,9,0.00574345883854499,Median imputation likely acceptable
sensor_539,9,0.00574345883854499,Median imputation likely acceptable
sensor_538,9,0.00574345883854499,Median imputation likely acceptable
sensor_261,9,0.00574345883854499,Median imputation likely acceptable
sensor_402,9,0.00574345883854499,Median imputation likely acceptable
sensor_529,9,0.00574345883854499,Median imputation likely acceptable
sensor_530,9,0.00574345883854499,Median imputation likely acceptable
sensor_536,9,0.00574345883854499,Median imputation likely acceptable
sensor_535,9,0.00574345883854499,Median imputation likely acceptable
sensor_532,9,0.00574345883854499,Median imputation likely acceptable
sensor_263,9,0.00574345883854499,Median imputation likely acceptable
sensor_533,9,0.00574345883854499,Median imputation likely acceptable
sensor_534,9,0.00574345883854499,Median imputation likely acceptable
sensor_401,9,0.00574345883854499,Median imputation likely acceptable
sensor_257,9,0.00574345883854499,Median imputation likely acceptable
sensor_400,9,0.00574345883854499,Median imputation likely acceptable
sensor_399,9,0.00574345883854499,Median imputation likely acceptable
sensor_258,9,0.00574345883854499,Median imputation likely acceptable
sensor_259,9,0.00574345883854499,Median imputation likely acceptable
sensor_398,9,0.00574345883854499,Median imputation likely acceptable
sensor_397,9,0.00574345883854499,Median imputation likely acceptable
sensor_262,9,0.00574345883854499,Median imputation likely acceptable
sensor_264,9,0.00574345883854499,Median imputation likely acceptable
sensor_122,9,0.00574345883854499,Median imputation likely acceptable
sensor_126,9,0.00574345883854499,Median imputation likely acceptable
sensor_132,9,0.00574345883854499,Median imputation likely acceptable
sensor_130,9,0.00574345883854499,Median imputation likely acceptable
sensor_129,9,0.00574345883854499,Median imputation likely acceptable
sensor_128,9,0.00574345883854499,Median imputation likely acceptable
sensor_127,9,0.00574345883854499,Median imputation likely acceptable
