wafer_id,target,status,decision,calibrated_failure_probability,prediction_confidence,combined_uncertainty,data_familiarity,historical_weighted_failure_rate,feature,feature_value,measurement_missing,development_median,development_iqr,development_missing_rate,robust_z,absolute_robust_z,shap_contribution,positive_shap_contribution,absolute_shap_contribution,global_mean_absolute_shap,global_relative_importance,global_importance_normalized,failure_explanation_records,failure_recurrence_normalized,failure_positive_contribution_rate,local_shap_rank_score,robust_deviation_rank_score,global_importance_rank_score,failure_recurrence_rank_score,investigation_priority_score,priority_level,deviation_level,investigation_reason,investigation_rank
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_104,-0.0045,False,-0.0101,0.003599999999999999,0.0015961691939345571,1.555555555555556,1.555555555555556,0.016530824994018,0.016530824994018,0.016530824994018,0.0130695122565504,0.029655553134588,1.0,21,1.0,0.3809523809523809,1.0,0.5,1.0,1.0,0.875,Very High,Moderate Deviation,sensor_104: the feature increased this wafer's predicted failure risk; the observed value shows a moderate deviation from the development reference; the feature is globally influential in the fitted model; the feature recurs frequently in explanations for observed failure records.,1
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_511,141.4365,False,46.9294,29.00590000000001,0.0015961691939345571,3.258202641531549,3.258202641531549,0.0130004516391127,0.0130004516391127,0.0130004516391127,0.005126153373235,0.0116315674794848,0.3922222400201497,10,0.47619047619047616,0.5,0.9,1.0,0.7,0.8,0.8499999999999999,Very High,Extreme Deviation,sensor_511: the feature increased this wafer's predicted failure risk; the observed value shows an extreme deviation from the development reference.,2
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_034,9.7997,False,8.77,0.4806000000000008,0.0,2.142530170620055,2.142530170620055,0.0044674529004386,0.0044674529004386,0.0044674529004386,0.00564012565872,0.0127978032289685,0.4315482894851861,9,0.42857142857142855,0.6666666666666666,0.7,0.9,0.8,0.7,0.7750000000000001,High,Moderate Deviation,sensor_034: the feature increased this wafer's predicted failure risk; the observed value shows a moderate deviation from the development reference.,3
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_060,0.8073,False,1.00135,6.19865,0.0039904229848363925,-0.0313052035523864,0.0313052035523864,-0.0088805291756703,0.0,0.0088805291756703,0.0075707665984331,0.0171785501036483,0.5792692527327219,18,0.8571428571428571,0.8333333333333334,0.3,0.1,0.9,0.9,0.55,Moderate,Within Typical Range,sensor_060: the feature materially influenced the model prediction; the feature recurs frequently in explanations for observed failure records.,4
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_432,2.2655,False,16.52865,10.257674999999999,0.0007980845969672786,-1.3904856607369604,1.3904856607369604,-0.006913782313059,0.0,0.006913782313059,0.0033387310090182,0.0075757926460041,0.25545949561697207,6,0.2857142857142857,0.3333333333333333,0.3,0.4,0.6,0.6,0.475,Moderate,Mild Deviation,sensor_432: the feature materially influenced the model prediction.,5
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_039,87.5241,False,86.8261,0.421599999999998,0.0,1.6555977229601775,1.6555977229601775,0.0048978622749679,0.0048978622749679,0.0048978622749679,0.0010384935867514,0.002356407885566,0.07945924579020996,0,0.0,0.0,0.8,0.7,0.1,0.2,0.45,Moderate,Moderate Deviation,sensor_039: the feature increased this wafer's predicted failure risk; the observed value shows a moderate deviation from the development reference.,6
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_201,8.02,False,17.244999999999997,5.9175,0.0039904229848363925,-1.5589353612167296,1.5589353612167296,-0.0065727823220748,0.0,0.0065727823220748,0.0021901366059519,0.0049695590175724,0.1675760015339677,5,0.23809523809523808,0.0,0.3,0.6,0.4,0.5,0.44999999999999996,Low,Moderate Deviation,sensor_201: the feature materially influenced the model prediction; the observed value shows a moderate deviation from the development reference.,7
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_103,-0.0752,False,0.0,0.06874999999999999,0.004788507581803671,-1.093818181818182,1.093818181818182,0.004417042591992,0.004417042591992,0.004417042591992,0.0025343651631142,0.0057506354699284,0.19391428795240492,1,0.047619047619047616,1.0,0.6,0.2,0.5,0.4,0.42500000000000004,Low,Mild Deviation,sensor_103: the feature increased this wafer's predicted failure risk.,8
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_480,1.2928,False,3.1967,0.9956,0.0031923383878691143,-1.9123141824025711,1.9123141824025711,-0.0064208841143325,0.0,0.0064208841143325,0.0014973888287373,0.0033976703263354,0.11457113313366482,0,0.0,0.0,0.3,0.8,0.2,0.2,0.375,Low,Moderate Deviation,sensor_480: the feature materially influenced the model prediction; the observed value shows a moderate deviation from the development reference.,9
WF-000002,0,Pass,Engineering Review,0.0622417162205708,0.2844558465860414,0.7155441534139586,0.26097366320830007,0.0,sensor_469,463.2883,False,146.827,287.49955,0.0039904229848363925,1.100736679413933,1.100736679413933,-0.0052353962001357,0.0,0.0052353962001357,0.0021177966615508,0.0048054150906354,0.16204098668558703,0,0.0,0.0,0.3,0.3,0.3,0.2,0.27499999999999997,Low,Mild Deviation,sensor_469: the feature materially influenced the model prediction.,10
