sensor,missing_count,missing_rate,failure_rate_when_missing,failure_rate_when_observed,failure_rate_difference,missingness_mutual_information
sensor_073,615,0.49082202713487627,0.04715447154471545,0.08463949843260188,-0.03748502688788643,0.002884890099087184
sensor_074,615,0.49082202713487627,0.04715447154471545,0.08463949843260188,-0.03748502688788643,0.002884890099087184
sensor_346,615,0.49082202713487627,0.04715447154471545,0.08463949843260188,-0.03748502688788643,0.002884890099087184
sensor_347,615,0.49082202713487627,0.04715447154471545,0.08463949843260188,-0.03748502688788643,0.002884890099087184
sensor_113,568,0.4533120510774142,0.0528169014084507,0.07737226277372262,-0.02455536136527192,0.0012278721580133295
sensor_248,568,0.4533120510774142,0.0528169014084507,0.07737226277372262,-0.02455536136527192,0.0012278721580133295
sensor_386,568,0.4533120510774142,0.0528169014084507,0.07737226277372262,-0.02455536136527192,0.0012278721580133295
sensor_520,568,0.4533120510774142,0.0528169014084507,0.07737226277372262,-0.02455536136527192,0.0012278721580133295
sensor_041,21,0.01675977653631285,0.0,0.06737012987012987,-0.06737012987012987,0.0011587435701809479
sensor_042,21,0.01675977653631285,0.0,0.06737012987012987,-0.06737012987012987,0.0011587435701809479
sensor_076,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_077,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_078,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_079,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_080,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_081,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_082,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_083,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_119,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_211,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_212,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_213,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_214,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_215,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_216,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_217,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_218,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_254,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_349,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_350,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_351,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_352,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_353,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_354,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_355,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_356,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_392,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_483,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_484,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_485,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_486,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_487,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_488,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_489,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_490,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_526,20,0.01596169193934557,0.0,0.06731549067315491,-0.06731549067315491,0.0011031030547647286
sensor_054,3,0.0023942537909018356,0.3333333333333333,0.0656,0.2677333333333333,0.0007551087461965273
sensor_055,3,0.0023942537909018356,0.3333333333333333,0.0656,0.2677333333333333,0.0007551087461965273
sensor_056,3,0.0023942537909018356,0.3333333333333333,0.0656,0.2677333333333333,0.0007551087461965273
sensor_057,3,0.0023942537909018356,0.3333333333333333,0.0656,0.2677333333333333,0.0007551087461965273
sensor_058,3,0.0023942537909018356,0.3333333333333333,0.0656,0.2677333333333333,0.0007551087461965273
sensor_059,3,0.0023942537909018356,0.3333333333333333,0.0656,0.2677333333333333,0.0007551087461965273
sensor_196,3,0.0023942537909018356,0.3333333333333333,0.0656,0.2677333333333333,0.0007551087461965273
sensor_332,3,0.0023942537909018356,0.3333333333333333,0.0656,0.2677333333333333,0.0007551087461965273
sensor_468,3,0.0023942537909018356,0.3333333333333333,0.0656,0.2677333333333333,0.0007551087461965273
sensor_003,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_004,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_005,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_007,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_139,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_140,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_141,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_143,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_274,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_275,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_276,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_278,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_412,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_413,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_414,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_416,13,0.010375099760574621,0.0,0.06693548387096775,-0.06693548387096775,0.000714923119383315
sensor_085,11,0.008778930566640064,0.0,0.06682769726247988,-0.06682769726247988,0.0006044312707944102
sensor_220,11,0.008778930566640064,0.0,0.06682769726247988,-0.06682769726247988,0.0006044312707944102
sensor_358,11,0.008778930566640064,0.0,0.06682769726247988,-0.06682769726247988,0.0006044312707944102
sensor_492,11,0.008778930566640064,0.0,0.06682769726247988,-0.06682769726247988,0.0006044312707944102
sensor_090,38,0.030327214684756583,0.02631578947368421,0.06748971193415639,-0.041173922460472176,0.0005117605536185633
sensor_091,38,0.030327214684756583,0.02631578947368421,0.06748971193415639,-0.041173922460472176,0.0005117605536185633
sensor_225,38,0.030327214684756583,0.02631578947368421,0.06748971193415639,-0.041173922460472176,0.0005117605536185633
sensor_226,38,0.030327214684756583,0.02631578947368421,0.06748971193415639,-0.041173922460472176,0.0005117605536185633
sensor_363,38,0.030327214684756583,0.02631578947368421,0.06748971193415639,-0.041173922460472176,0.0005117605536185633
sensor_364,38,0.030327214684756583,0.02631578947368421,0.06748971193415639,-0.041173922460472176,0.0005117605536185633
sensor_497,38,0.030327214684756583,0.02631578947368421,0.06748971193415639,-0.041173922460472176,0.0005117605536185633
sensor_498,38,0.030327214684756583,0.02631578947368421,0.06748971193415639,-0.041173922460472176,0.0005117605536185633
sensor_122,9,0.007182761372705506,0.0,0.06672025723472669,-0.06672025723472669,0.0004941234920235946
sensor_123,9,0.007182761372705506,0.0,0.06672025723472669,-0.06672025723472669,0.0004941234920235946
sensor_124,9,0.007182761372705506,0.0,0.06672025723472669,-0.06672025723472669,0.0004941234920235946
